title,bag_of_words
Pacific Heights (1990),mystery thriller neo noir tenant landlord yuppie  
Night Tide (1961),drama nan  
"Draughtsman's Contract, The (1982)",drama nan  
Carmen (1984),drama nan  
"Zed & Two Noughts, A (1985)",drama nan  
Woman in the Dunes (Suna no onna) (1964),drama nan  
Down to You (2000),comedy romance boyfriend girlfriend reconciliation reference to jim morrison chef painter  
Hellhounds on My Trail (1999),documentary alcoholic blues music independent film  
"Not Love, Just Frenzy (Más que amor, frenesí) (1996)",comedy drama thriller dead woman on a bed murder of a police officer shooting a police officer woman murders a man  
Wirey Spindell (2000),comedy hot sex scene sexy male frontal nudity  
Another Man's Poison (1952),crime drama nan  
"Odessa File, The (1974)",thriller nan  
"Saphead, The (1920)",comedy nan  
Seven Chances (1925),comedy nan  
Smashing Time (1967),comedy nan  
Train Ride to Hollywood (1975),comedy fantasy musical nan  
Where the Buffalo Roam (1980),comedy nan  
Zachariah (1971),comedy musical western nan  
Kestrel's Eye (Falkens öga) (1998),documentary church falcon nature bird's nest  
Eye of the Beholder (1999),thriller femme fatale female serial killer chicago illinois cigarette smoking  
Isn't She Great? (2000),comedy determination failed actress publicity agent novelist  
"Big Tease, The (1999)",comedy hairdresser competition reference to liberace los angeles california  
"Cup, The (Phörpa) (1999)",comedy soccer world cup uncle nephew relationship 1998 fifa world cup  
Santitos (1999),comedy immigrant california mexico border veracruz mexico travel  
Encino Man (1992),comedy the terminator character payphone swimming pool generation x  
"Goodbye Girl, The (1977)",comedy romance nan  
I Am Cuba (Soy Cuba/Ya Kuba) (1964),drama nan  
Malcolm X (1992),drama islam nation of islam african american black activist  
Sister Act (1992),comedy crime punched in the face shot to death held at gunpoint punched in the crotch  
Sister Act 2: Back in the Habit (1993),comedy nun unruly child school nun's habit  
"Hand That Rocks the Cradle, The (1992)",drama thriller gynecological exam sexual assault gynecologist female nudity  
Alive (1993),drama based on true story survival andes mountains crash  
Agnes of God (1985),drama mystery nan  
Scent of a Woman (1992),drama blind character private school tango philogyny  
Wayne's World (1992),comedy public access headbanging breaking the fourth wall based on sketch comedy  
Wayne's World 2 (1993),comedy watching tv concert record producer wedding  
"League of Their Own, A (1992)",comedy drama baseball women's sports sports team baseball movie  
Patriot Games (1992),action crime drama thriller jack ryan character lingerie villain terrorist  
"Bodyguard, The (1992)",drama romance thriller weeping lust attempted suicide fictional celebrity  
Death Becomes Her (1992),comedy fantasy egocentric woman frenemy betrayal eternal life  
Far and Away (1992),adventure drama romance three word title voyeurism voyeur female voyeur  
Howards End (1992),drama burning a letter marriage kiss train station  
Singles (1992),comedy drama romance single woman seattle washington female stockinged feet foot closeup  
Twin Peaks: Fire Walk with Me (1992),crime drama mystery thriller surrealism double life incest tragic female character  
White Men Can't Jump (1992),comedy drama basketball racism cult film gender in title  
Buffy the Vampire Slayer (1992),action comedy horror mentor student relationship destiny high school coming of age  
Hard-Boiled (Lat sau san taam) (1992),action crime drama thriller gun fu informant gunfight long take  
Man Bites Dog (C'est arrivé près de chez vous) (1992),comedy crime drama thriller dark comedy mockumentary black comedy satire  
"Mariachi, El (1992)",action crime thriller western female bartender attempted rape female prison guard love triangle  
Stop! Or My Mom Will Shoot (1992),action comedy head dunked in a toilet pinching cheek male wears underwear man in a shower  
Forever Young (1992),drama romance sci-fi 1930s love pilot boy  
"Cutting Edge, The (1992)",comedy drama romance olympics coach figure skating hockey  
Of Mice and Men (1992),drama simple minded reference to the novel of mice and men california dead mouse  
Bad Lieutenant (1992),crime drama rape drugs gambling police  
Scream 3 (2000),comedy horror mystery thriller silent bob character jay character tape over mouth horror icon  
Single White Female (1992),drama thriller roommate female frontal nudity female star appears nude antisocial personality disorder  
"Boondock Saints, The (2000)",action crime drama thriller gay slur cauterizing a wound gay male protagonist  
Gun Shy (2000),comedy group therapy colombian murder nurse  
Beloved/Friend (a.k.a. Amigo/Amado) (Amic/Amat) (1999),drama literature overhead camera shot touching oneself sadomasochism  
Gendernauts (1999),documentary san francisco california f rated intersex title directed by female  
Knockout (2000),action drama boxing country  
"Baby, The (1973)",horror nan  
"Brandon Teena Story, The (1998)",documentary character name as title brandon teena character four word title nebraska  
Different for Girls (1996),comedy concealed male nudity pubic hair male pubic hair female pubic hair  
Minnie and Moskowitz (1971),action nan  
They Might Be Giants (1971),comedy mystery romance nan  
"Beach, The (2000)",adventure drama thailand beach pretentiousness cricket the sport  
Snow Day (2000),comedy meteorologist child fighting an adult unruly child child driving a truck  
"Tigger Movie, The (2000)",animation children friendship cartoon tiger winnie the pooh animal character name as title  
Cotton Mary (1999),drama nurse india breast feeding f rated  
Not One Less (Yi ge dou bu neng shao) (1999),drama train station television station manager dishwashing watching television  
Soft Toilet Seats (1999),comedy f rated woman in bathtub female in shower breasts  
Trois (2000),thriller erotic thriller erotica black cast menage a trois  
"Big Combo, The (1955)",film-noir nan  
Conceiving Ada (1997),drama sci-fi candlelit bath crying implanted memory computer  
Eaten Alive (1977),horror nan  
Raining Stones (1993),drama covered in faeces class warfare class society dignity  
To Sir with Love (1967),drama nan  
With Byrd at the South Pole (1930),documentary nan  
Boiler Room (2000),crime drama thriller stock stock broker vulture capitalist casino  
Hanging Up (2000),comedy drama actress thanksgiving man in a coma year 1993  
Pitch Black (2000),horror sci-fi thriller darkness eclipse survival spaceship  
"Whole Nine Yards, The (2000)",comedy crime hitman adultery marriage problems nudity  
Beautiful People (1999),comedy Comedy  
Black Tar Heroin: The Dark End of the Street (2000),documentary urban setting seattle washington san francisco california twenty something  
Blue Collar (1978),crime drama nan  
Bluebeard (1944),film-noir horror nan  
"Circus, The (1928)",comedy nan  
City Lights (1931),comedy drama romance nan  
"Flamingo Kid, The (1984)",comedy drama nan  
"Dog's Life, A (1918)",comedy nan  
"Kid, The (1921)",comedy drama nan  
"Man from Laramie, The (1955)",western nan  
"McCullochs, The (1975)",drama nan  
Class Reunion (1982),comedy nan  
"Big Trees, The (1952)",action drama nan  
Happy Go Lovely (1951),musical nan  
Reindeer Games (2000),action thriller female frontal nudity no panties female rear nudity female nudity  
Wonder Boys (2000),comedy drama male objectification professor college girl bare chested male  
Deterrence (1999),drama thriller president diner iraq colorado  
Judy Berlin (1999),drama teacher filmmaker actress aspiring actress  
Mifune's Last Song (Mifunes sidste sang) (1999),comedy drama romance marriage bride loud sex sex while wearing a bra  
"Waiting Game, The (2000)",comedy nan  
3 Strikes (2000),comedy sex diaper adult diaper sawed off shotgun  
Chain of Fools (2000),comedy crime canine man's best friend botched robbery robbery  
Drowning Mona (2000),comedy drowning suspect waitress crying woman  
"Next Best Thing, The (2000)",comedy drama breakup watching tv gay friend custody battle  
What Planet Are You From? (2000),comedy sci-fi pregnancy question in title alien husband wife relationship  
Beyond the Mat (1999),documentary wrestling professional wrestling world wrestling entertainment headquarters  
Ghost Dog: The Way of the Samurai (1999),crime drama crime boss samurai african american hitman  
The Year My Voice Broke (1987),drama romance nan  
Splendor in the Grass (1961),drama romance nan  
My Tutor (1983),drama nan  
"Legend of Lobo, The (1962)",adventure children nan  
"Killing of Sister George, The (1968)",drama nan  
Key Largo (1948),crime drama film-noir thriller nan  
Jail Bait (1954),crime drama nan  
It Happened Here (1966),drama fantasy war nan  
I'll Never Forget What's'isname (1967),comedy drama nan  
For All Mankind (1989),documentary nan  
Cross of Iron (1977),war nan  
Bride of the Monster (1955),horror sci-fi nan  
Born Yesterday (1950),comedy nan  
Birdy (1984),drama war nan  
And God Created Woman (1988),comedy drama romance nan  
Blood Feast (1963),horror nan  
"Charlie, the Lonesome Cougar (1967)",adventure children nan  
Color Me Blood Red (1965),horror nan  
Never Cry Wolf (1983),adventure drama nan  
The Night Visitor (1971),crime horror thriller nan  
"Perils of Pauline, The (1947)",comedy nan  
"Raisin in the Sun, A (1961)",drama nan  
Two Thousand Maniacs! (1964),horror nan  
Brown's Requiem (1998),drama pink panties panties woman in bra and panties escort service  
"Closer You Get, The (2000)",comedy romance village butcher priest bachelor  
Mission to Mars (2000),sci-fi human on mars based on theme park ride mars astronaut  
"Ninth Gate, The (1999)",fantasy horror mystery thriller rare book book detective bibliophilia satanic  
East-West (Est-ouest) (1999),drama romance year 1946 husband wife relationship shot to death swimming pool  
Defending Your Life (1991),comedy drama fantasy romance fear courage courtroom past life  
Breaking Away (1979),comedy drama nan  
Hoosiers (a.k.a. Best Shot) (1986),drama romance nan  
Bull Durham (1988),comedy drama romance nan  
Dog Day Afternoon (1975),crime drama nan  
American Graffiti (1973),comedy drama nan  
"Asphalt Jungle, The (1950)",crime film-noir nan  
"Searchers, The (1956)",drama western nan  
"Devil's Brigade, The (1968)",war nan  
"Big Country, The (1958)",romance western nan  
Any Number Can Win (Mélodie en sous-sol ) (1963),crime nan  
Betrayed (1988),drama thriller nan  
Bound for Glory (1976),drama nan  
"Bridge at Remagen, The (1969)",action war nan  
Buck and the Preacher (1972),western nan  
Daughters of the Dust (1991),drama triple f rated title directed by female feminist film written by director  
Destination Moon (1950),sci-fi nan  
"Fantastic Night, The (Nuit fantastique, La) (1942)",romance nan  
Hangmen Also Die! (1943),drama war nan  
"Ogre, The (Unhold, Der) (1996)",drama children castle hunting frenchman  
On the Beach (1959),drama nan  
Railroaded! (1947),film-noir nan  
Slaves to the Underground (1997),comedy drama lesbianism band love singer  
Song of Freedom (1936),drama nan  
Big Fella (1937),drama musical nan  
"Taking of Pelham One Two Three, The (1974)",action crime nan  
Volunteers (1985),comedy nan  
JFK (1991),drama mystery thriller conspiracy theory investigation president assassination  
Who's Harry Crumb? (1989),comedy mystery nan  
Harry and the Hendersons (1987),children comedy nan  
Let's Get Harry (1986),action adventure nan  
Shanghai Surprise (1986),adventure crime drama romance nan  
Who's That Girl? (1987),comedy nan  
She-Devil (1989),comedy nan  
Date with an Angel (1987),comedy fantasy romance nan  
Blind Date (1987),comedy romance nan  
Nadine (1987),comedy nan  
"Muppet Movie, The (1979)",adventure children comedy musical nan  
